127.0.0.1 - - [08/Aug/2020:22:57:22 +0800] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:57:43 +0800] "GET /spark_v1.0/view/user_login_form.jsp HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:57:43 +0800] "GET /spark_v1.0/static/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:57:44 +0800] "GET /spark_v1.0/static/css/AdminLTE.min.css HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:57:44 +0800] "GET /spark_v1.0/static/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:57:44 +0800] "GET /spark_v1.0/static/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:57:44 +0800] "GET /spark_v1.0/static/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:57:44 +0800] "GET /spark_v1.0/static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:58:16 +0800] "GET /spark_v1.0/view/user_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:58:16 +0800] "GET /spark_v1.0/view/user_login_form.jsp HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [08/Aug/2020:22:58:16 +0800] "GET /spark_v1.0/static/css/AdminLTE.min.css HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:29 +0800] "GET /spark_v1.0/view/user_login_form.jsp HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:29 +0800] "GET /spark_v1.0/static/css/AdminLTE.min.css HTTP/1.1" 200 106548
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:29 +0800] "GET /spark_v1.0/static/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:29 +0800] "GET /spark_v1.0/static/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:29 +0800] "GET /spark_v1.0/static/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:29 +0800] "GET /spark_v1.0/static/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:29 +0800] "GET /spark_v1.0/static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:35 +0800] "POST /spark_v1.0/view/user_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:35 +0800] "GET /spark_v1.0/view/user_login_form.jsp?flag=0 HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:36 +0800] "GET /spark_v1.0/static/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:36 +0800] "GET /spark_v1.0/static/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:41 +0800] "GET /spark_v1.0/view/user_register_form.jsp HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:41 +0800] "GET /spark_v1.0/static/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:41 +0800] "GET /spark_v1.0/static/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:03:46 +0800] "GET /spark_v1.0/view/user_login_form.jsp HTTP/1.1" 200 2135
